timestamp,git_hash,approach,num_videos_per_class,num_train_videos,num_val_videos,num_test_videos,frames_per_clip,learning_rate,weight_decay,batch_size,accumulation_steps,num_epochs,trainable_params,total_params,trainable_pct,final_test_acc,final_train_acc,best_val_acc,best_epoch,training_time_sec,training_time_min,inference_time_ms,lora_rank,lora_alpha,lora_dropout,precision_sitting_down,recall_sitting_down,f1_sitting_down,precision_standing_up,recall_standing_up,f1_standing_up,precision_waving,recall_waving,f1_waving,precision_other,recall_other,f1_other
251006-065221,c9871fafcc554436f39b68c35d15cb33269fef57,head_only,100,280,60,60,16,0.0002,0.01,1,4,5,4100,375311748,0.0010924251697018554,0.7666666666666667,,0.75,,1114.2031919956207,18.570053199927013,,,,,,,,,,,,,,,,
251006-071101,c9871fafcc554436f39b68c35d15cb33269fef57,head_only,200,560,120,120,16,0.0002,0.01,1,4,5,4100,375311748,0.0010924251697018554,0.7833333333333333,,0.75,,2518.258246898651,41.97097078164418,,,,,,,,,,,,,,,,
251006-064310,c9871fafcc554436f39b68c35d15cb33269fef57,head_only,50,140,30,30,16,0.0002,0.01,1,4,5,4100,375311748,0.0010924251697018554,0.8,,0.8,,544.2656252384186,9.071093753973644,,,,,,,,,,,,,,,,
251006-075306,c9871fafcc554436f39b68c35d15cb33269fef57,lora,100,280,60,60,16,0.0002,0.01,1,4,5,495620,375803268,0.13188283397258801,0.8833333333333333,,0.85,,1180.4131309986115,19.67355218331019,,16,32.0,0.1,,,,,,,,,,,,
251006-081253,c9871fafcc554436f39b68c35d15cb33269fef57,lora,200,560,120,120,16,0.0002,0.01,1,4,5,495620,375803268,0.13188283397258801,0.8166666666666667,,0.775,,2388.1470601558685,39.802451002597806,,16,32.0,0.1,,,,,,,,,,,,
251006-061358,c9871fafcc554436f39b68c35d15cb33269fef57,lora,50,140,30,30,16,0.0002,0.01,1,4,5,495620,375803268,0.13188283397258801,0.7333333333333333,,0.8,,724.5632171630859,12.076053619384766,,16,32.0,0.1,,,,,,,,,,,,
251006-061345,c9871fafcc554436f39b68c35d15cb33269fef57,lora,50,140,30,30,8,0.0002,0.01,1,4,5,495620,375803268,0.13188283397258801,0.5333333333333333,,0.6666666666666666,,485.03965163230896,8.083994193871815,,16,32.0,0.1,,,,,,,,,,,,
251005-222459,c9871fafcc554436f39b68c35d15cb33269fef57,lora,781,2186,468,470,8,0.0002,0.01,1,4,5,495620,375803268,0.13188283397258801,0.7893617021276595,,0.7948717948717948,,4265.623883962631,71.09373139937719,,16,32.0,0.1,,,,,,,,,,,,
251006-095133,68f5af8afce6e7d53c61182b3d6a2fdef1e1c579,lora,10,28,6,6,8,0.0002,0.01,1,4,5,495620,375803268,0.13188283397258801,0.3333333333333333,0.5,0.8333333333333334,1,57.11539316177368,0.9519232193628947,138.80542914072672,16,32.0,0.1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
251006-101117,68f5af8afce6e7d53c61182b3d6a2fdef1e1c579,lora,50,140,30,30,8,0.0002,0.01,1,4,5,495620,375803268,0.13188283397258801,0.5333333333333333,0.6642857142857143,0.6666666666666666,5,318.4854109287262,5.3080901821454365,190.2141491572062,16,32.0,0.1,0.4444444444444444,0.8,0.5714285714285714,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.6363636363636364,0.7,0.6666666666666666,0.25,0.125,0.16666666666666666
251006-101647,68f5af8afce6e7d53c61182b3d6a2fdef1e1c579,lora,50,140,30,30,8,0.0002,0.01,1,4,5,495620,375803268,0.13188283397258801,0.5333333333333333,0.6642857142857143,0.6666666666666666,5,356.1961920261383,5.936603200435639,157.8027089436849,16,32.0,0.1,0.4444444444444444,0.8,0.5714285714285714,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.6363636363636364,0.7,0.6666666666666666,0.25,0.125,0.16666666666666666
251006-102254,68f5af8afce6e7d53c61182b3d6a2fdef1e1c579,lora,50,140,30,30,8,0.0002,0.01,1,4,5,495620,375803268,0.13188283397258801,0.5333333333333333,0.6642857142857143,0.6666666666666666,5,379.45624709129333,6.324270784854889,179.62912718454996,16,32.0,0.1,0.4444444444444444,0.8,0.5714285714285714,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.6363636363636364,0.7,0.6666666666666666,0.25,0.125,0.16666666666666666
251006-102926,68f5af8afce6e7d53c61182b3d6a2fdef1e1c579,lora,50,140,30,30,8,0.0002,0.01,1,4,5,495620,375803268,0.13188283397258801,0.5333333333333333,0.6642857142857143,0.6666666666666666,5,369.9761972427368,6.166269954045614,172.9674736658732,16,32.0,0.1,0.4444444444444444,0.8,0.5714285714285714,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.6363636363636364,0.7,0.6666666666666666,0.25,0.125,0.16666666666666666
251006-103548,68f5af8afce6e7d53c61182b3d6a2fdef1e1c579,lora,50,140,30,30,8,0.0002,0.01,1,4,5,495620,375803268,0.13188283397258801,0.5333333333333333,0.6642857142857143,0.6666666666666666,5,364.44959902763367,6.074159983793894,174.18675422668457,16,32.0,0.1,0.4444444444444444,0.8,0.5714285714285714,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.6363636363636364,0.7,0.6666666666666666,0.25,0.125,0.16666666666666666
